"","grp.age","grp.edu","grp.empl","kid.num","home.size","gender","race","marital.st","disability","religion","sexual.orient","poli.affil","SW.program","urbanity","spirituality","sc.idx.1","sc.idx.2","gr.idx.1","gr.idx.2"
"1","[1,23]","Assoc","entry","No-kid","3+","female","white","single-or-once-married","Yes","non-religion","heterosexual or bisexual","Independent","BSW","Suburban","low",0.271280828849752,0.568302998225619,-1.3097702132308,0.467867574025604
"2","[24,30]","Adv.deg","entry","No-kid","1-2","female","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Suburban","low",2.32169971869072,0.72550452209965,-2.46361013525912,0.661683511127522
"3","[24,30]","Adv.deg","entry","No-kid","1-2","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Democrat","MSW","Suburban","high",0.195412012636084,0.89929693962658,-0.523972065858905,0.0139822256815633
"4","[24,30]","Adv.deg","junior","No-kid","1-2","female","white","single-or-once-married","No","non-religion","homosexual","Democrat","MSW","Suburban","low",1.9214844050816,0.347491720160253,0.540826493360787,-0.374773497728309
"5","[24,30]","Assoc","entry","No-kid","1-2","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",-1.38324425194005,1.42430125987867,1.3164295594917,0.656245426665486
"6","[1,23]","Bachelor","junior","No-kid","3+","female","white","married-or-partner","Yes","non-religion","heterosexual or bisexual","Independent","BSW","Suburban","high",2.50337606215122,0.0164499838201845,0.687522326766956,-1.2859332423422
"7","[24,30]","Bachelor","entry","No-kid","1-2","female","white","married-or-partner","Yes","non-religion","homosexual","Democrat","MSW","Urban","low",4.52931533689851,0.00188577304346693,0.80931975918143,0.314383787170431
"8","[1,23]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Independent","MSW","Suburban","low",-2.32824880538516,-0.566856112352405,1.07706287109635,0.461041666395568
"9","[24,30]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Suburban","low",-0.251689622815003,0.479129450812955,0.684163797410403,0.687984340567588
"10","[1,23]","Assoc","entry","No-kid","3+","female","white","single-or-once-married","Yes","traditional-religion","heterosexual or bisexual","Democrat","BSW","Suburban","low",0.682378372300689,0.304979884078083,1.17309225544208,-0.406512411630411
"11","[1,23]","Bachelor","entry","No-kid","1-2","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Democrat","MSW","Rural","low",2.4910950282461,-1.05673523901182,-0.686752787472398,0.691536731856457
"12","[24,30]","Bachelor","entry","No-kid","1-2","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Democrat","MSW","Urban","high",3.76117260034864,-0.247017768515084,0.834652983711649,0.292580953876475
"13","[24,30]","Bachelor","junior","No-kid","1-2","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Democrat","MSW","Urban","high",0.238491134947648,-1.21267277139813,1.70932863317765,0.429302752493465
"14","[30,99]","Adv.deg","entry","With-kid","3+","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Independent","MSW","Suburban","high",-1.84655964459571,1.99639735307688,1.3164295594917,0.656245426665486
"15","[1,23]","Bachelor","entry","With-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Republican","BSW","Rural","high",-1.69041841018982,0.29038668252184,1.42854383204475,0.0222965870785052
"16","[30,99]","Bachelor","senior","With-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Suburban","high",-4.83767988393776,0.431750051738749,1.70932863317765,0.429302752493465
"17","[30,99]","Bachelor","senior","No-kid","1-2","female","white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Independent","MSW","Suburban","high",1.47595208608144,0.976194353457013,-0.176284457805577,-0.940519211558278
"18","[24,30]","Adv.deg","junior","No-kid","3+","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Independent","MSW","Suburban","high",1.55417612332513,-2.11706071848942,-0.426322152942603,-0.116027951210547
"19","[24,30]","Bachelor","entry","No-kid","1-2","male","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Rural","high",2.30438850776939,-1.23191778495933,-4.22438259483851,0.865435528837585
"20","[1,23]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Republican","BSW","Rural","high",-0.843765791368577,1.72882711375698,0.309285470869549,-0.0610983808464884
"21","[30,99]","Bachelor","senior","With-kid","3+","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Independent","MSW","Rural","high",-1.7137934385387,0.0331834924628504,-1.91864773520047,-2.27645667312619
"22","[30,99]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","MSW","Suburban","low",-0.844312985016005,1.22609851773561,-1.76459303591006,0.819944169076505
"23","[30,99]","Adv.deg","senior","No-kid","1-2","female","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Rural","high",1.55373966718468,-1.05379006446231,1.07706287109635,0.461041666395568
"24","[24,30]","Bachelor","junior","No-kid","1-2","female","white","single-or-once-married","No","non-traditional-answer","heterosexual or bisexual","Democrat","MSW","Urban","low",-3.0302304132839,0.200993247664088,0.834652983711649,0.292580953876475
"25","[30,99]","Bachelor","senior","No-kid","1-2","female","non-white","married-or-partner","No","non-religion","heterosexual or bisexual","Independent","MSW","Suburban","high",0.363198258457568,1.56896104998287,-1.03629788948303,-0.0793488228515764
"26","[1,23]","Adv.deg","junior","No-kid","1-2","female","white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Suburban","high",0.492968059190705,0.45370337527131,-0.30883126194219,1.41387640551971
"27","[30,99]","Bachelor","senior","With-kid","3+","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Independent","MSW","Suburban","high",-0.630451419997061,0.752322679104409,-1.15766049835898,0.810008088468359
"28","[24,30]","Bachelor","entry","No-kid","3+","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Urban","high",-2.07748774871221,-2.20474023681865,1.70932863317765,0.429302752493465
"29","[30,99]","Bachelor","entry","No-kid","1-2","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Independent","MSW","Rural","high",2.86347763446433,-0.336345307117796,0.562801188534453,1.57734125188752
"30","[24,30]","Bachelor","junior","No-kid","3+","female","white","married-or-partner","No","non-religion","homosexual","Democrat","MSW","Rural","low",-0.123479859474618,0.617246725275313,-2.38717563812994,3.08594895207822
"31","[1,23]","Assoc","entry","With-kid","3+","female","white","single-or-once-married","No","non-religion","heterosexual or bisexual","Democrat","BSW","Rural","high",-2.18145983123448,-2.38745477165623,1.17309225544208,-0.406512411630411
"32","[30,99]","Bachelor","senior","With-kid","3+","female","non-white","married-or-partner","No","non-religion","heterosexual or bisexual","Democrat","MSW","Suburban","low",3.83858921176546,1.04862247518591,-7.40626216286045,1.58155485654462
"33","[30,99]","Bachelor","senior","No-kid","1-2","female","white","single-or-once-married","No","traditional-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",2.72338038448637,-0.272814654377016,-1.24832238973818,-0.122475598973464
"34","[24,30]","Bachelor","entry","No-kid","1-2","female","white","single-or-once-married","No","non-religion","non-specific sexual orientation","Democrat","BSW","Suburban","low",1.69279392079394,0.507588951992987,-0.702837675679723,0.457931493417458
"35","[30,99]","Bachelor","senior","With-kid","3+","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Independent","BSW","Rural","high",-1.38084033102937,0.248540298539413,1.70932863317765,0.429302752493465
"36","[30,99]","Bachelor","senior","No-kid","3+","female","non-white","married-or-partner","Yes","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Suburban","high",-4.74078048873811,1.38355998168924,1.45387705657497,0.000493753784548912
"37","[30,99]","Adv.deg","junior","With-kid","3+","male","non-white","married-or-partner","No","traditional-religion","heterosexual or bisexual","Republican","MSW","Urban","high",1.05897514723927,-2.5391563953613,-1.72354576751965,-4.03830787692898
"38","[30,99]","Bachelor","senior","No-kid","3+","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",-2.10324063674248,0.439605863315751,-0.309938601993776,0.230988819245438
"39","[24,30]","Assoc","entry","No-kid","1-2","female","white","married-or-partner","No","non-religion","heterosexual or bisexual","Democrat","MSW","Urban","low",-4.71279203301102,-0.243458287330517,1.42854383204475,0.0222965870785052
"40","[1,23]","Bachelor","entry","With-kid","3+","female","white","single-or-once-married","Yes","traditional-religion","heterosexual or bisexual","Democrat","BSW","Urban","high",0.187616250358834,1.49482586877002,0.687522326766956,-1.2859332423422
"41","[1,23]","Bachelor","junior","With-kid","3+","female","white","married-or-partner","No","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Urban","low",3.44829345326927,-0.650064661972965,-3.16270033928039,-0.880087598288544
"42","[24,30]","Adv.deg","junior","No-kid","3+","other","white","married-or-partner","Yes","non-traditional-answer","heterosexual or bisexual","Democrat","BSW","Suburban","high",5.02425484690842,0.748013982455324,-7.92424082806418,0.757557387648649
