year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,region,pop
2018,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3144,588,101.09,22.44,134.91,1,328.56,23,3,52771,12709,3309,5374,105,31274,South East,498715
2018,12,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",35,6,1.02,0,2.78,0,2.2,0,1,398,107,0,100,0,191,South Cent,961855
2018,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",96,13,7.49,1,1.25,0,3.26,0,0,850,591,21,38,0,200,South East,689447
2018,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",445,79,11.29,1,30.32,0,36.39,0,1,5957,834,73,1526,0,3524,North East,675647
2018,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",199,48,16.28,2.32,15.99,0,13.41,3,1,3426,1306,170,775,0,1175,North East,585708
2018,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",174,27,10.84,0.91,6.24,0,9.02,0,0,1610,698,30,166,0,716,South East,874579
2018,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",136,16,5.78,0,3.76,0,6.46,0,0,1683,369,0,410,0,904,North East,689545
2018,12,9E,Endeavor Air Inc.,DEN,"Denver, CO: Denver International",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North West,715522
2018,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",155,15,8.25,0,3.21,0,3.54,1,5,864,586,0,98,0,180,South Cent,1304379
2018,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1687,140,46.45,3.29,29.87,0.04,60.36,6,0,12717,4465,604,897,10,6741,North Cent,639111
2018,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",138,36,4.33,0,29.49,0,2.18,0,0,2441,149,0,2021,0,271,North East,311549
2018,12,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",21,6,2.56,0,3.11,0,0.33,2,0,581,486,0,89,0,6,South East,182760
2018,12,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",98,20,2.67,0.47,6.14,0,10.72,0,0,1556,176,14,313,0,1053,North East,689545
2018,12,9E,Endeavor Air Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",139,14,8.76,0,2.85,0,2.38,0,1,1006,681,0,240,0,85,South Cent,2304580
2018,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1406,223,40.75,6.14,113.16,0,62.95,9,4,23039,4067,1284,10959,0,6729,North East,8804190
2018,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",1857,429,46.48,15.44,240.71,0,126.37,8,5,32048,6092,1024,13694,0,11238,North East,8804190
2018,12,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",19,5,3.82,0,0.15,0,1.02,0,0,261,219,0,6,0,36,South East,307573
2018,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,South East,442241
2018,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",1264,137,42.42,5.09,33.96,0.1,55.43,4,0,10641,3998,663,1182,23,4775,North Cent,429954
2018,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",94,26,6.42,0,8.54,0,11.04,0,0,1270,438,0,286,0,546,North Cent,2746388
2018,12,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",173,46,11.26,0.98,17.61,0,16.15,4,0,3774,1040,171,1255,0,1308,North East,1603797
2018,12,9E,Endeavor Air Inc.,TPA,"Tampa, FL: Tampa International",19,6,2.47,0,0.77,0,2.75,0,0,362,140,0,32,0,190,South East,384959
2018,12,AA,American Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1029,233,92.27,8.22,79.6,1.01,51.89,14,1,10847,4444,812,2386,30,3175,South East,498715
2018,12,AA,American Airlines,AUS,"Austin, TX: Austin - Bergstrom International",936,143,50.1,12.06,45.3,0,35.53,16,6,6061,1835,774,1518,0,1934,South Cent,961855
2018,12,AA,American Airlines,BNA,"Nashville, TN: Nashville International",582,111,48,3.4,25.81,0.31,33.48,12,2,5374,2084,322,828,8,2132,South East,689447
2018,12,AA,American Airlines,BOS,"Boston, MA: Logan International",2090,363,98.47,16.19,126.72,1.47,120.15,23,0,22482,7092,1356,5133,338,8563,North East,675647
2018,12,AA,American Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",470,77,32.72,2.89,16.62,0.11,24.65,10,4,4182,1571,620,516,9,1466,North East,585708
2018,12,AA,American Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",7811,1122,303.95,24.92,363.91,3.09,426.13,271,10,62383,22850,2445,10667,140,26281,South East,874579
2018,12,AA,American Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",1898,290,94.66,11.56,76.22,0.71,106.85,32,6,16288,5296,827,2374,45,7746,North East,689545
