"county_fips","state_po","county_name","party","candidatevotes","lon","lat","rMapState","rMapCounty"
1001,"AL","AUTAUGA","REPUBLICAN",19838,-86.64564861,32.54009148,"alabama","autauga"
1001,"AL","AUTAUGA","DEMOCRAT",7503,-86.64564861,32.54009148,"alabama","autauga"
1003,"AL","BALDWIN","REPUBLICAN",83544,-87.72627168,30.73831437,"alabama","baldwin"
1003,"AL","BALDWIN","DEMOCRAT",24578,-87.72627168,30.73831437,"alabama","baldwin"
1005,"AL","BARBOUR","DEMOCRAT",4816,-85.39732718,31.87402989,"alabama","barbour"
1005,"AL","BARBOUR","REPUBLICAN",5622,-85.39732718,31.87402989,"alabama","barbour"
1007,"AL","BIBB","DEMOCRAT",1986,-87.12526047,32.99902355,"alabama","bibb"
1007,"AL","BIBB","REPUBLICAN",7525,-87.12526047,32.99902355,"alabama","bibb"
1009,"AL","BLOUNT","DEMOCRAT",2640,-86.5627114,33.99044001,"alabama","blount"
1009,"AL","BLOUNT","REPUBLICAN",24711,-86.5627114,33.99044001,"alabama","blount"
1011,"AL","BULLOCK","REPUBLICAN",1146,-85.71680363,32.10633554,"alabama","bullock"
1011,"AL","BULLOCK","DEMOCRAT",3446,-85.71680363,32.10633554,"alabama","bullock"
1013,"AL","BUTLER","REPUBLICAN",5458,-86.68434696,31.75713941,"alabama","butler"
1013,"AL","BUTLER","DEMOCRAT",3965,-86.68434696,31.75713941,"alabama","butler"
1015,"AL","CALHOUN","REPUBLICAN",35101,-85.82956111,33.77624501,"alabama","calhoun"
1015,"AL","CALHOUN","DEMOCRAT",15216,-85.82956111,33.77624501,"alabama","calhoun"
1017,"AL","CHAMBERS","DEMOCRAT",6365,-85.3948531,32.91633065,"alabama","chambers"
1017,"AL","CHAMBERS","REPUBLICAN",8753,-85.3948531,32.91633065,"alabama","chambers"
1019,"AL","CHEROKEE","DEMOCRAT",1624,-85.60421986,34.19147067,"alabama","cherokee"
1019,"AL","CHEROKEE","REPUBLICAN",10583,-85.60421986,34.19147067,"alabama","cherokee"
1021,"AL","CHILTON","REPUBLICAN",16085,-86.71562395,32.8516297,"alabama","chilton"
1021,"AL","CHILTON","DEMOCRAT",3073,-86.71562395,32.8516297,"alabama","chilton"
1023,"AL","CHOCTAW","REPUBLICAN",4296,-88.25953692,32.02046848,"alabama","choctaw"
1023,"AL","CHOCTAW","DEMOCRAT",3127,-88.25953692,32.02046848,"alabama","choctaw"
1025,"AL","CLARKE","REPUBLICAN",7324,-87.82482965,31.673326,"alabama","clarke"
1025,"AL","CLARKE","DEMOCRAT",5755,-87.82482965,31.673326,"alabama","clarke"
1027,"AL","CLAY","REPUBLICAN",5601,-85.85178714,33.27340969,"alabama","clay"
1027,"AL","CLAY","DEMOCRAT",1267,-85.85178714,33.27340969,"alabama","clay"
1029,"AL","CLEBURNE","DEMOCRAT",675,-85.52610168,33.67621939,"alabama","cleburne"
1029,"AL","CLEBURNE","REPUBLICAN",6484,-85.52610168,33.67621939,"alabama","cleburne"
1031,"AL","COFFEE","REPUBLICAN",16899,-85.99444058,31.39847656,"alabama","coffee"
1031,"AL","COFFEE","DEMOCRAT",5076,-85.99444058,31.39847656,"alabama","coffee"
1033,"AL","COLBERT","DEMOCRAT",8343,-87.81097599,34.70276047,"alabama","colbert"
1033,"AL","COLBERT","REPUBLICAN",19203,-87.81097599,34.70276047,"alabama","colbert"
1035,"AL","CONECUH","DEMOCRAT",2966,-86.99065443,31.43577781,"alabama","conecuh"
1035,"AL","CONECUH","REPUBLICAN",3442,-86.99065443,31.43577781,"alabama","conecuh"
1037,"AL","COOSA","DEMOCRAT",1796,-86.24544124,32.94021362,"alabama","coosa"
1037,"AL","COOSA","REPUBLICAN",3631,-86.24544124,32.94021362,"alabama","coosa"
1039,"AL","COVINGTON","DEMOCRAT",2721,-86.45655104,31.25973186,"alabama","covington"
1039,"AL","COVINGTON","REPUBLICAN",14586,-86.45655104,31.25973186,"alabama","covington"
1041,"AL","CRENSHAW","REPUBLICAN",4864,-86.31956157,31.73590915,"alabama","crenshaw"
1041,"AL","CRENSHAW","DEMOCRAT",1700,-86.31956157,31.73590915,"alabama","crenshaw"
1043,"AL","CULLMAN","DEMOCRAT",4478,-86.8654481,34.1382457,"alabama","cullman"
1043,"AL","CULLMAN","REPUBLICAN",36880,-86.8654481,34.1382457,"alabama","cullman"
1045,"AL","DALE","REPUBLICAN",14303,-85.61909408,31.43086648,"alabama","dale"
1045,"AL","DALE","DEMOCRAT",5170,-85.61909408,31.43086648,"alabama","dale"
1047,"AL","DALLAS","REPUBLICAN",5524,-87.09767509,32.3267024,"alabama","dallas"
1047,"AL","DALLAS","DEMOCRAT",12230,-87.09767509,32.3267024,"alabama","dallas"
1049,"AL","DEKALB","REPUBLICAN",24767,-85.81226395,34.45439485,"alabama","de kalb"
1049,"AL","DEKALB","DEMOCRAT",4281,-85.81226395,34.45439485,"alabama","de kalb"
1051,"AL","ELMORE","REPUBLICAN",30164,-86.15419329,32.59892985,"alabama","elmore"
1051,"AL","ELMORE","DEMOCRAT",10367,-86.15419329,32.59892985,"alabama","elmore"
1053,"AL","ESCAMBIA","REPUBLICAN",10869,-87.15746525,31.13336493,"alabama","escambia"
1053,"AL","ESCAMBIA","DEMOCRAT",4918,-87.15746525,31.13336493,"alabama","escambia"
1055,"AL","ETOWAH","REPUBLICAN",35528,-86.0334282,34.0527293,"alabama","etowah"
1055,"AL","ETOWAH","DEMOCRAT",11567,-86.0334282,34.0527293,"alabama","etowah"
1057,"AL","FAYETTE","DEMOCRAT",1395,-87.73637609,33.72193461,"alabama","fayette"
1057,"AL","FAYETTE","REPUBLICAN",7300,-87.73637609,33.72193461,"alabama","fayette"
1059,"AL","FRANKLIN","DEMOCRAT",2086,-87.84558379,34.44338254,"alabama","franklin"
1059,"AL","FRANKLIN","REPUBLICAN",10376,-87.84558379,34.44338254,"alabama","franklin"
1061,"AL","GENEVA","DEMOCRAT",1595,-85.8443776,31.09992203,"alabama","geneva"
1061,"AL","GENEVA","REPUBLICAN",10848,-85.8443776,31.09992203,"alabama","geneva"
1063,"AL","GREENE","REPUBLICAN",875,-87.94813999,32.86570101,"alabama","greene"
1063,"AL","GREENE","DEMOCRAT",3884,-87.94813999,32.86570101,"alabama","greene"
1065,"AL","HALE","DEMOCRAT",4663,-87.62219763,32.76490176,"alabama","hale"
1065,"AL","HALE","REPUBLICAN",3192,-87.62219763,32.76490176,"alabama","hale"
1067,"AL","HENRY","DEMOCRAT",2606,-85.2541057,31.51595712,"alabama","henry"
1067,"AL","HENRY","REPUBLICAN",6607,-85.2541057,31.51595712,"alabama","henry"
1069,"AL","HOUSTON","DEMOCRAT",12917,-85.31543021,31.15254068,"alabama","houston"
1069,"AL","HOUSTON","REPUBLICAN",32618,-85.31543021,31.15254068,"alabama","houston"
1071,"AL","JACKSON","DEMOCRAT",3717,-85.99775089,34.77683646,"alabama","jackson"
1071,"AL","JACKSON","REPUBLICAN",19670,-85.99775089,34.77683646,"alabama","jackson"
1073,"AL","JEFFERSON","REPUBLICAN",138843,-86.89025434,33.56305784,"alabama","jefferson"
1073,"AL","JEFFERSON","DEMOCRAT",181688,-86.89025434,33.56305784,"alabama","jefferson"
1075,"AL","LAMAR","REPUBLICAN",6174,-88.09795652,33.78170368,"alabama","lamar"
1075,"AL","LAMAR","DEMOCRAT",978,-88.09795652,33.78170368,"alabama","lamar"
1077,"AL","LAUDERDALE","DEMOCRAT",11915,-87.65420478,34.90408733,"alabama","lauderdale"
1077,"AL","LAUDERDALE","REPUBLICAN",31721,-87.65420478,34.90408733,"alabama","lauderdale"
1079,"AL","LAWRENCE","REPUBLICAN",12322,-87.30558826,34.52482237,"alabama","lawrence"
1079,"AL","LAWRENCE","DEMOCRAT",3562,-87.30558826,34.52482237,"alabama","lawrence"
1081,"AL","LEE","DEMOCRAT",27860,-85.35526336,32.60991751,"alabama","lee"
1081,"AL","LEE","REPUBLICAN",42221,-85.35526336,32.60991751,"alabama","lee"
1083,"AL","LIMESTONE","DEMOCRAT",13672,-86.97369268,34.81222508,"alabama","limestone"
1083,"AL","LIMESTONE","REPUBLICAN",34640,-86.97369268,34.81222508,"alabama","limestone"
1085,"AL","LOWNDES","REPUBLICAN",1836,-86.65003578,32.15780715,"alabama","lowndes"
1085,"AL","LOWNDES","DEMOCRAT",4972,-86.65003578,32.15780715,"alabama","lowndes"
1087,"AL","MACON","DEMOCRAT",7108,-85.69511359,32.39385812,"alabama","macon"
1087,"AL","MACON","REPUBLICAN",1541,-85.69511359,32.39385812,"alabama","macon"
1089,"AL","MADISON","REPUBLICAN",102780,-86.54312668,34.76518768,"alabama","madison"
1089,"AL","MADISON","DEMOCRAT",87286,-86.54312668,34.76518768,"alabama","madison"
1091,"AL","MARENGO","REPUBLICAN",5343,-87.77831202,32.25123243,"alabama","marengo"
1091,"AL","MARENGO","DEMOCRAT",5488,-87.77831202,32.25123243,"alabama","marengo"
1093,"AL","MARION","DEMOCRAT",1463,-87.88319784,34.13791708,"alabama","marion"
