region,year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,prop_del,SelectionProb,SamplingWeight
North Central,2023,12,DL,Delta Air Lines Network,MSP,"Minneapolis, MN: Minneapolis-St Paul International",5429,426,181.19,9.75,109.1,1.95,124.02,1,3,39292,21672,3165,3042,116,11297,0.078467489,0.163522013,6.115384615
North Central,2023,12,PT,Piedmont Airlines,ORD,"Chicago, IL: Chicago O'Hare International",170,25,6.82,0.25,8.05,0,9.88,0,1,1974,658,13,354,0,949,0.147058824,0.163522013,6.115384615
North Central,2023,12,QX,Horizon Air,ORD,"Chicago, IL: Chicago O'Hare International",20,4,2,0,2,0,0,0,0,135,84,0,51,0,0,0.2,0.163522013,6.115384615
North Central,2023,12,AS,Alaska Airlines Network,ORD,"Chicago, IL: Chicago O'Hare International",213,32,10.2,0.8,14.94,0,6.05,0,1,1409,626,20,420,0,343,0.150234742,0.163522013,6.115384615
North Central,2023,12,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",113,29,15.82,0,3.71,0,9.47,2,0,2100,1312,0,103,0,685,0.256637168,0.163522013,6.115384615
North Central,2023,12,MQ,Envoy Air,DTW,"Detroit, MI: Detroit Metro Wayne County",30,6,0.76,0.05,1.2,0,3.99,0,0,289,55,1,28,0,205,0.2,0.163522013,6.115384615
North Central,2023,12,YV,Mesa Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",53,2,2,0,0,0,0,0,0,145,145,0,0,0,0,0.037735849,0.163522013,6.115384615
North Central,2023,12,ZW,Air Wisconsin Airlines Co,MSP,"Minneapolis, MN: Minneapolis-St Paul International",56,10,1.05,0.19,5.51,0,3.24,0,0,262,25,4,114,0,119,0.178571429,0.163522013,6.115384615
North Central,2023,12,ZW,Air Wisconsin Airlines Co,ORD,"Chicago, IL: Chicago O'Hare International",2043,312,91.77,9.17,54.11,0.2,156.75,5,0,28450,8369,2614,1771,28,15668,0.152716593,0.163522013,6.115384615
North Central,2023,12,NK,Spirit Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",826,163,57.8,1.15,58.88,2.32,42.85,1,1,9318,3605,37,2950,105,2621,0.197336562,0.163522013,6.115384615
North Central,2023,11,AA,American Airlines Network,ORD,"Chicago, IL: Chicago O'Hare International",3553,429,147.09,0.87,117.97,3.43,159.64,2,5,31994,15787,56,3446,135,12570,0.120743034,0.163522013,6.115384615
North Central,2023,11,B6,JetBlue Airways,DTW,"Detroit, MI: Detroit Metro Wayne County",164,37,22.02,0,4.59,0,10.39,0,0,2631,1661,0,208,0,762,0.225609756,0.163522013,6.115384615
North Central,2023,11,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",35,5,3.35,0,1.03,0,0.62,0,0,262,155,0,19,0,88,0.142857143,0.163522013,6.115384615
North Central,2023,11,WN,Southwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",322,51,25,0,5.57,0,20.43,0,0,2108,1093,0,153,0,862,0.158385093,0.163522013,6.115384615
North Central,2023,11,WN,Southwest Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",666,98,41.91,0,19.17,0,36.92,1,0,3928,1916,0,552,0,1460,0.147147147,0.163522013,6.115384615
North Central,2023,11,YX,Republic Airline,ORD,"Chicago, IL: Chicago O'Hare International",969,71,12.12,1.33,30.42,0,27.12,0,1,3751,862,94,937,0,1858,0.073271414,0.163522013,6.115384615
